"A"	"B"	"C"
"176"	"B"	"B"	"A"
"177"	"A"	"A"	"B"
"178"	"A"	"B"	"B"
"179"	"B"	"A"	"B"
"180"	"A"	"B"	"A"
"181"	"B"	"B"	"B"
"182"	"B"	"A"	"B"
"183"	"B"	"A"	"B"
"184"	"A"	"B"	"B"
"185"	"A"	"A"	"A"
"186"	"A"	"B"	"B"
"187"	"A"	"B"	"A"
"188"	"B"	"B"	"B"
"189"	"A"	"B"	"A"
"190"	"A"	"B"	"B"
"191"	"B"	"B"	"A"
"192"	"A"	"A"	"B"
"193"	"A"	"B"	"B"
"194"	"B"	"B"	"B"
"195"	"A"	"A"	"B"
"196"	"A"	"A"	"B"
"197"	"B"	"B"	"B"
"198"	"B"	"B"	"B"
"199"	"A"	"A"	"A"
"200"	"B"	"B"	"B"
